,GEO,Year,EDU,UNEM,MANU,POV,OWNC,MULS,MEDH,BTYR,YRMV,VAC,OLD,CHILD,WATER,DEVELI,WETLAND,AGRI,FOREST,DEVEMI,DEVEOS,SHRUB,DEVEHI,BARREN,UNCLA
10,26093713300,2000,0.316770089,-1.01271351,-1.096482497,-0.815411712,0.982603535,-0.887101627,0.625853718,-1.133160024,1.606197809,-1.06687446,0.000830002,0.168645703,0.053658537,0.141463415,0.151219512,0.158536585,0.165853659,0.085365854,0.16097561,0.026829268,0.026829268,0.029268293,0.0
11,26093713500,2000,0.193448665,-1.004852177,-1.101180531,-0.791864202,0.898665588,-0.898959274,0.054487523,-1.101790375,0.390544439,0.765954723,-1.139621516,0.944619653,0.060773481,0.143646409,0.149171271,0.093922652,0.149171271,0.113259669,0.151933702,0.041436464,0.052486188,0.044198895,0.0
12,26093713700,2000,0.982196379,-0.249566084,0.217927787,-0.779685038,1.026901353,-0.678888615,0.850832726,-1.801498521,2.21201355,-0.659252417,-1.558511022,1.354945469,0.043650794,0.166666667,0.115079365,0.138888889,0.138888889,0.123015873,0.166666667,0.051587302,0.03968254,0.015873016,0.0
13,26093720100,2000,-0.72096223,-0.358599352,0.378425434,-0.591026236,1.086016652,-0.867674719,-0.388643696,-1.091815061,0.387097964,-0.440607766,-0.795211891,0.80618062,0.017738359,0.155949741,0.204730229,0.220251293,0.158906135,0.0436068,0.17812269,0.013303769,0.005912786,0.001478197,0.0
14,26093721100,2000,-0.639788374,0.1582491,-0.355852185,-0.711863478,0.886169512,-0.898959274,-0.550221734,-0.732326473,-0.329368422,0.310063736,-0.972574019,0.566290081,0.035415325,0.148100451,0.187379266,0.195750161,0.180940116,0.049581455,0.168061816,0.02060528,0.00772698,0.00643915,0.0
15,26093722100,2000,-0.29088568,-0.305672074,0.614283741,-0.69882282,0.808633381,-0.791606424,-0.026684195,-0.964119394,1.10962028,-1.056271435,-0.42370367,0.84007908,0.027237354,0.145914397,0.178988327,0.186770428,0.153696498,0.081712062,0.161478599,0.031128405,0.023346304,0.009727626,0.0
16,26093722300,2000,-0.70410228,-0.341030982,0.109554852,-0.171689672,-0.232797216,-0.000845755,-0.579278884,-0.433254254,0.798715323,-0.217369406,0.099536886,0.596871857,0.032258065,0.153225806,0.129032258,0.137096774,0.072580645,0.14516129,0.153225806,0.008064516,0.137096774,0.032258065,0.0
17,26093722500,2000,-0.443856684,0.031066407,-0.591008872,-0.380171288,0.798696483,-0.63080595,-0.179172926,-0.761527522,-0.29286808,-0.683630914,-1.500947135,1.455827936,0.021067416,0.157303371,0.196629213,0.209269663,0.144662921,0.051966292,0.172752809,0.015449438,0.015449438,0.015449438,0.0
18,26093724001,2000,-0.270319773,0.2342135,-0.074265299,-0.684793976,0.907344328,-0.816754894,-0.049386675,-0.92477911,0.377109108,-0.164988369,-0.19950487,0.309734832,0.014778325,0.147783251,0.155172414,0.165024631,0.145320197,0.113300493,0.150246305,0.032019704,0.054187192,0.022167488,0.0
19,26093724002,2000,-0.277444244,0.214235461,-0.10991596,-0.694337982,0.905842963,-0.849474401,-0.04380492,-0.960410341,0.304832762,-0.235956694,-0.219061409,0.295476343,0.026771654,0.148031496,0.165354331,0.181102362,0.168503937,0.069291339,0.159055118,0.034645669,0.022047244,0.02519685,0.0
